
     Program AVERAGE v.6.1 (svn rev. 13369) starts on 14Sep2017 at 12:29:12 

     This program is part of the open-source Quantum ESPRESSO suite
     for quantum simulation of materials; please cite
         "P. Giannozzi et al., J. Phys.:Condens. Matter 21 395502 (2009);
          URL http://www.quantum-espresso.org", 
     in publications or presentations arising from this work. More details at
     http://www.quantum-espresso.org/quote

     Parallel version (MPI & OpenMP), running on      32 processor cores
     Number of MPI processes:                 1
     Threads/MPI process:                    32
     Reading header from file  out.oncv

   Info: using nr1, nr2, nr3 values from input

   Info: using nr1, nr2, nr3 values from input
 
     G-vector sticks info
     --------------------
     sticks:   dense  smooth     PW     G-vecs:    dense   smooth      PW
     Sum        5377    5377      1               295907   295907       1
 
     Reading data from file  out.oncv
    2.217024000    0.146645149   -0.071787252
    2.230709333    0.152484629   -0.071947284
    2.244394667    0.158030689   -0.072099377
    2.258080000    0.163285085   -0.072243571
    2.271765333    0.168250410   -0.072379934
    2.285450667    0.172930046   -0.072508549
    2.299136000    0.177328105   -0.072629524
    2.312821333    0.181449354   -0.072742979
    2.326506667    0.185299146   -0.072849053
    2.340192000    0.188883333   -0.072947895
    2.353877333    0.192208180   -0.073039667
    2.367562667    0.195280277   -0.073124539
    2.381248000    0.198106435   -0.073202688
    2.394933333    0.200693598   -0.073274291
    2.408618667    0.203048737   -0.073339529
    2.422304000    0.205178752   -0.073398580
    2.435989333    0.207090377   -0.073451619
    2.449674667    0.208790083   -0.073498811
    2.463360000    0.210283987   -0.073540316
    2.477045333    0.211577765   -0.073576280
    2.490730667    0.212676571   -0.073606835
    2.504416000    0.213584969   -0.073632100
    2.518101333    0.214306863   -0.073652176
    2.531786667    0.214845445   -0.073667145
    2.545472000    0.215203150   -0.073677070
    2.559157333    0.215381619   -0.073681993
    2.572842667    0.215381680   -0.073681936
    2.586528000    0.215203332   -0.073676899
    2.600213333    0.214845749   -0.073666860
    2.613898667    0.214307288   -0.073651778
    2.627584000    0.213585514   -0.073631588
    2.641269333    0.212677237   -0.073606209
    2.654954667    0.211578550   -0.073575540
    2.668640000    0.210284891   -0.073539463
