
     Program AVERAGE v.6.1 (svn rev. 13369) starts on 18Sep2017 at 17: 2:33 

     This program is part of the open-source Quantum ESPRESSO suite
     for quantum simulation of materials; please cite
         "P. Giannozzi et al., J. Phys.:Condens. Matter 21 395502 (2009);
          URL http://www.quantum-espresso.org", 
     in publications or presentations arising from this work. More details at
     http://www.quantum-espresso.org/quote

     Parallel version (MPI & OpenMP), running on      20 processor cores
     Number of MPI processes:                 1
     Threads/MPI process:                    20
     Reading header from file  n-atom.dat

   Info: using nr1, nr2, nr3 values from input

   Info: using nr1, nr2, nr3 values from input
 
     G-vector sticks info
     --------------------
     sticks:   dense  smooth     PW     G-vecs:    dense   smooth      PW
     Sum        9401    9401      1               684885   684885       1
 
     Reading data from file  n-atom.dat
    4.256346000    0.005962112    0.005529698
    4.270032000    0.005963344    0.005541750
    4.283718000    0.005964608    0.005553492
    4.297404000    0.005965897    0.005564935
    4.311090000    0.005967199    0.005576085
    4.324776000    0.005968504    0.005586951
    4.338462000    0.005969798    0.005597540
    4.352148000    0.005971066    0.005607861
    4.365834000    0.005972295    0.005617920
    4.379520000    0.005973472    0.005627724
    4.393206000    0.005974585    0.005637282
    4.406892000    0.005975626    0.005646598
    4.420578000    0.005976586    0.005655680
    4.434264000    0.005977463    0.005664534
    4.447950000    0.005978257    0.005673165
    4.461636000    0.005978969    0.005681579
    4.475322000    0.005979608    0.005689782
    4.489008000    0.005980180    0.005697778
    4.502694000    0.005980698    0.005705573
    4.516380000    0.005981175    0.005713171
    4.530066000    0.005981624    0.005720577
    4.543752000    0.005982061    0.005727795
    4.557438000    0.005982500    0.005734831
    4.571124000    0.005982954    0.005741687
    4.584810000    0.005983434    0.005748370
    4.598496000    0.005983949    0.005754882
    4.612182000    0.005984507    0.005761229
    4.625868000    0.005985111    0.005767414
    4.639554000    0.005985761    0.005773441
    4.653240000    0.005986455    0.005779316
    4.666926000    0.005987186    0.005785041
    4.680612000    0.005987946    0.005790622
    4.694298000    0.005988724    0.005796062
    4.707984000    0.005989509    0.005801365
    4.721670000    0.005990287    0.005806535
    4.735356000    0.005991045    0.005811576
    4.749042000    0.005991769    0.005816491
    4.762728000    0.005992448    0.005821284
    4.776414000    0.005993073    0.005825959
    4.790100000    0.005993635    0.005830518
    4.803786000    0.005994129    0.005834965
    4.817472000    0.005994553    0.005839302
    4.831158000    0.005994909    0.005843532
    4.844844000    0.005995201    0.005847657
    4.858530000    0.005995434    0.005851681
    4.872216000    0.005995620    0.005855605
    4.885902000    0.005995768    0.005859432
    4.899588000    0.005995892    0.005863164
    4.913274000    0.005996005    0.005866802
    4.926960000    0.005996121    0.005870349
    4.940646000    0.005996252    0.005873807
    4.954332000    0.005996409    0.005877178
    4.968018000    0.005996602    0.005880463
    4.981704000    0.005996840    0.005883666
    4.995390000    0.005997125    0.005886787
    5.009076000    0.005997460    0.005889829
    5.022762000    0.005997843    0.005892794
    5.036448000    0.005998270    0.005895685
    5.050134000    0.005998735    0.005898503
    5.063820000    0.005999227    0.005901250
    5.077506000    0.005999737    0.005903929
    5.091192000    0.006000252    0.005906541
    5.104878000    0.006000759    0.005909089
    5.118564000    0.006001245    0.005911574
    5.132250000    0.006001700    0.005913998
    5.145936000    0.006002112    0.005916364
    5.159622000    0.006002473    0.005918673
    5.173308000    0.006002777    0.005920926
    5.186994000    0.006003021    0.005923124
    5.200680000    0.006003204    0.005925270
    5.214366000    0.006003328    0.005927364
    5.228052000    0.006003399    0.005929407
    5.241738000    0.006003424    0.005931401
    5.255424000    0.006003414    0.005933347
    5.269110000    0.006003378    0.005935244
    5.282796000    0.006003330    0.005937095
    5.296482000    0.006003281    0.005938900
    5.310168000    0.006003245    0.005940661
    5.323854000    0.006003233    0.005942377
    5.337540000    0.006003255    0.005944049
    5.351226000    0.006003318    0.005945680
    5.364912000    0.006003428    0.005947269
    5.378598000    0.006003587    0.005948817
    5.392284000    0.006003797    0.005950327
    5.405970000    0.006004054    0.005951798
    5.419656000    0.006004352    0.005953232
    5.433342000    0.006004685    0.005954630
    5.447028000    0.006005041    0.005955994
    5.460714000    0.006005411    0.005957323
    5.474400000    0.006005782    0.005958621
    5.488086000    0.006006142    0.005959887
    5.501772000    0.006006480    0.005961122
    5.515458000    0.006006785    0.005962328
    5.529144000    0.006007048    0.005963506
    5.542830000    0.006007261    0.005964656
    5.556516000    0.006007422    0.005965780
    5.570202000    0.006007526    0.005966877
    5.583888000    0.006007576    0.005967948
    5.597574000    0.006007576    0.005968995
    5.611260000    0.006007530    0.005970016
    5.624946000    0.006007447    0.005971014
    5.638632000    0.006007337    0.005971987
    5.652318000    0.006007212    0.005972937
    5.666004000    0.006007083    0.005973864
    5.679690000    0.006006961    0.005974768
    5.693376000    0.006006859    0.005975649
    5.707062000    0.006006787    0.005976508
    5.720748000    0.006006752    0.005977344
    5.734434000    0.006006761    0.005978160
    5.748120000    0.006006819    0.005978954
    5.761806000    0.006006926    0.005979727
    5.775492000    0.006007081    0.005980481
    5.789178000    0.006007280    0.005981216
    5.802864000    0.006007516    0.005981931
    5.816550000    0.006007782    0.005982629
    5.830236000    0.006008067    0.005983310
    5.843922000    0.006008361    0.005983974
    5.857608000    0.006008651    0.005984621
    5.871294000    0.006008927    0.005985254
    5.884980000    0.006009177    0.005985872
    5.898666000    0.006009393    0.005986476
    5.912352000    0.006009566    0.005987066
    5.926038000    0.006009691    0.005987643
    5.939724000    0.006009765    0.005988207
    5.953410000    0.006009787    0.005988759
    5.967096000    0.006009760    0.005989298
    5.980782000    0.006009688    0.005989825
    5.994468000    0.006009578    0.005990340
    6.008154000    0.006009438    0.005990843
    6.021840000    0.006009279    0.005991334
    6.035526000    0.006009111    0.005991813
    6.049212000    0.006008947    0.005992281
    6.062898000    0.006008796    0.005992737
    6.076584000    0.006008670    0.005993181
    6.090270000    0.006008577    0.005993613
    6.103956000    0.006008525    0.005994034
    6.117642000    0.006008518    0.005994444
    6.131328000    0.006008558    0.005994842
    6.145014000    0.006008646    0.005995230
    6.158700000    0.006008779    0.005995608
    6.172386000    0.006008953    0.005995976
    6.186072000    0.006009159    0.005996334
    6.199758000    0.006009389    0.005996683
    6.213444000    0.006009633    0.005997023
    6.227130000    0.006009881    0.005997355
    6.240816000    0.006010120    0.005997680
    6.254502000    0.006010341    0.005997997
    6.268188000    0.006010534    0.005998307
    6.281874000    0.006010691    0.005998610
    6.295560000    0.006010804    0.005998907
    6.309246000    0.006010871    0.005999198
    6.322932000    0.006010888    0.005999483
    6.336618000    0.006010858    0.005999763
